black box type,black box train accuracy,black box test accuracy,anchor precision threshold
DecisionTreeClassifier,1.0,0.998,0.95

anchors precision
,kmeans: ,0.61
,decile: ,0.62
,quartile: ,0.46
,entropy: ,0.61
,MDLP: ,0.63
""
anchors coverage
,kmeans: ,0.17
,decile: ,0.19
,quartile: ,0.25
,entropy: ,0.21
,MDLP: ,0.21
""
anchors prec*coverage
,kmeans: ,0.27
,decile: ,0.29
,quartile: ,0.32
,entropy: ,0.31
,MDLP: ,0.31
""
anchors size
,kmeans: ,2.51
,decile: ,2.02
,quartile: ,2.75
,entropy: ,3.15
,MDLP: ,3.0
""
time to compute anchors
,kmeans: ,108.14
,decile: ,157.98
,quartile: ,72.46
,entropy: ,133.15
,MDLP: ,149.35
""
dataset name,dataset size,dataset nb feature,Number of instances running
generate_moons,10000,2,1000
